Exchange,Token,LotSize,GNGD,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
MCX,235116,30,1,SILVER,SILVER24NOV22C70250,24-NOV-2022,OPTFUT,CE,70250,0.5,
MCX,235115,30,1,SILVER,SILVER24NOV22P70000,24-NOV-2022,OPTFUT,PE,70000,0.5,
MCX,235114,30,1,SILVER,SILVER24NOV22C70000,24-NOV-2022,OPTFUT,CE,70000,0.5,
MCX,235113,30,1,SILVER,SILVER24NOV22P69750,24-NOV-2022,OPTFUT,PE,69750,0.5,
MCX,235112,30,1,SILVER,SILVER24NOV22C69750,24-NOV-2022,OPTFUT,CE,69750,0.5,
MCX,235111,30,1,SILVER,SILVER24NOV22P69500,24-NOV-2022,OPTFUT,PE,69500,0.5,
MCX,235110,30,1,SILVER,SILVER24NOV22C69500,24-NOV-2022,OPTFUT,CE,69500,0.5,
MCX,235109,30,1,SILVER,SILVER24NOV22P69250,24-NOV-2022,OPTFUT,PE,69250,0.5,
MCX,235108,30,1,SILVER,SILVER24NOV22C69250,24-NOV-2022,OPTFUT,CE,69250,0.5,
MCX,235658,30,1,SILVER,SILVER24NOV22P74250,24-NOV-2022,OPTFUT,PE,74250,0.5,
MCX,235657,30,1,SILVER,SILVER24NOV22C74250,24-NOV-2022,OPTFUT,CE,74250,0.5,
MCX,235656,30,1,SILVER,SILVER24NOV22P74000,24-NOV-2022,OPTFUT,PE,74000,0.5,
MCX,235655,30,1,SILVER,SILVER24NOV22C74000,24-NOV-2022,OPTFUT,CE,74000,0.5,
MCX,235654,30,1,SILVER,SILVER24NOV22P73750,24-NOV-2022,OPTFUT,PE,73750,0.5,
MCX,235653,30,1,SILVER,SILVER24NOV22C73750,24-NOV-2022,OPTFUT,CE,73750,0.5,
MCX,235652,30,1,SILVER,SILVER24NOV22P73500,24-NOV-2022,OPTFUT,PE,73500,0.5,
MCX,235651,30,1,SILVER,SILVER24NOV22C73500,24-NOV-2022,OPTFUT,CE,73500,0.5,
MCX,239472,5,1,SILVERM,SILVERM17FEB23P65250,17-FEB-2023,OPTFUT,PE,65250,0.5,
MCX,239471,5,1,SILVERM,SILVERM17FEB23C65250,17-FEB-2023,OPTFUT,CE,65250,0.5,
MCX,239470,30,1,SILVER,SILVER22FEB23P65500,22-FEB-2023,OPTFUT,PE,65500,0.5,
MCX,239469,30,1,SILVER,SILVER22FEB23C65500,22-FEB-2023,OPTFUT,CE,65500,0.5,
MCX,239468,30,1,SILVER,SILVER22FEB23P65250,22-FEB-2023,OPTFUT,PE,65250,0.5,
MCX,239467,30,1,SILVER,SILVER22FEB23C65250,22-FEB-2023,OPTFUT,CE,65250,0.5,
MCX,239466,30,1,SILVER,SILVER22FEB23P65000,22-FEB-2023,OPTFUT,PE,65000,0.5,
MCX,239465,30,1,SILVER,SILVER22FEB23C65000,22-FEB-2023,OPTFUT,CE,65000,0.5,
MCX,239337,30,1,SILVER,SILVER22FEB23C75250,22-FEB-2023,OPTFUT,CE,75250,0.5,
MCX,239336,30,1,SILVER,SILVER22FEB23P75000,22-FEB-2023,OPTFUT,PE,75000,0.5,
MCX,239335,30,1,SILVER,SILVER22FEB23C75000,22-FEB-2023,OPTFUT,CE,75000,0.5,
MCX,239334,30,1,SILVER,SILVER22FEB23P74750,22-FEB-2023,OPTFUT,PE,74750,0.5,
MCX,239333,30,1,SILVER,SILVER22FEB23C74750,22-FEB-2023,OPTFUT,CE,74750,0.5,
MCX,239332,30,1,SILVER,SILVER22FEB23P74500,22-FEB-2023,OPTFUT,PE,74500,0.5,
MCX,239331,30,1,SILVER,SILVER22FEB23C74500,22-FEB-2023,OPTFUT,CE,74500,0.5,
MCX,239330,30,1,SILVER,SILVER22FEB23P74250,22-FEB-2023,OPTFUT,PE,74250,0.5,
MCX,239329,30,1,SILVER,SILVER22FEB23C74250,22-FEB-2023,OPTFUT,CE,74250,0.5,
MCX,239328,30,1,SILVER,SILVER22FEB23P74000,22-FEB-2023,OPTFUT,PE,74000,0.5,
MCX,239327,30,1,SILVER,SILVER22FEB23C74000,22-FEB-2023,OPTFUT,CE,74000,0.5,
